epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,51.46350424559112,51.77069725669497,53.109691378184195,51.00806451612903,62.046370967741936,54.73790322580645
2,53.37912312214239,67.56613324624429,55.78155617243632,50.604838709677416,70.16129032258064,56.653225806451616
3,53.51383899412149,69.50828706727629,56.27449379490529,53.881048387096776,60.43346774193548,56.40120967741935
4,53.69856303069889,70.1675783801437,58.13500163291966,51.965725806451616,72.53024193548387,60.23185483870968
5,53.94554212932724,70.50538863487917,60.68337687785761,54.233870967741936,71.62298387096774,61.94556451612903
6,54.47215871979099,70.63602220770738,61.89990202482038,52.97379032258065,73.89112903225806,64.26411290322581
7,54.87324461136512,71.2463259307642,62.462238732854345,52.06653225806452,63.256048387096776,63.810483870967744
8,55.462116263879814,71.85254735467015,62.79086381450033,52.77217741935484,73.23588709677419,64.76814516129032
9,55.729506858262575,72.72105649902025,63.01130796864794,54.13306451612903,75.05040322580645,65.17137096774194
10,55.764206401045065,73.0884634225996,63.21542292619203,54.18346774193548,74.04233870967742,65.17137096774194
11,56.09589320705421,73.55486610058784,63.42259960809928,54.53629032258065,73.4375,63.76008064516129
12,55.934642390594384,74.05494774657087,63.78490365774004,54.284274193548384,74.14314516129032,65.7258064516129
13,56.08874918354017,74.13761430437623,64.05841770084912,54.6875,74.34475806451613,64.91935483870968
14,56.14283964728936,74.2008899412149,65.1412475506205,54.63709677419355,74.49596774193549,66.22983870967742
15,56.23775310254735,74.14271717831483,68.96432070542129,54.73790322580645,74.54637096774194,71.82459677419355
16,56.1601894186806,74.34887328543435,72.35058785107773,53.578629032258064,74.94959677419355,74.79838709677419
17,56.31837851077727,74.52339157413455,80.14369693011103,54.586693548387096,75.40322580645162,85.88709677419355
18,56.049967341606795,74.52441214892227,94.40316786414108,54.586693548387096,76.20967741935483,97.58064516129032
19,56.17243631613324,75.76032821685173,98.02416721097322,55.443548387096776,79.08266129032258,97.47983870967742
20,56.48881450032658,80.48354833442194,98.66508817766166,55.141129032258064,83.61895161290323,98.23588709677419
