epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
1,51.39818745917701,51.43901045068583,52.91986446766819,53.67943548387097,63.810483870967744,55.846774193548384
2,53.219913455258,67.52122795558458,55.61724363161333,52.26814516129032,71.7741935483871,57.560483870967744
3,53.489345199216196,69.56952155453952,56.1601894186806,52.167338709677416,70.2116935483871,59.32459677419355
4,53.824093729588505,69.9277433050294,58.08499346832136,52.872983870967744,73.1350806451613,62.85282258064516
5,53.68223383409536,70.54314990202482,60.595607446113654,53.62903225806452,73.03427419354838,64.56653225806451
6,54.26906433703462,70.95035924232528,61.640676028739385,53.32661290322581,71.72379032258064,63.55846774193548
7,54.88242978445461,71.42390594382756,62.45101241018942,53.62903225806452,75.25201612903226,63.76008064516129
8,55.34679131286741,72.38630796864794,62.700032658393205,53.78024193548387,74.74798387096774,64.41532258064517
9,55.53457707380797,73.03947583278902,62.858221750489875,53.98185483870968,74.6975806451613,63.961693548387096
10,55.87953135205748,73.53445460483344,63.274616263879814,54.586693548387096,69.85887096774194,64.0625
11,55.7407331809275,73.85287393860222,63.39096178967995,53.881048387096776,74.24395161290323,64.31451612903226
12,56.00608262573481,73.9763634879164,63.60936479425212,55.19153225806452,74.14314516129032,64.76814516129032
13,56.11222240365774,74.2907005225343,63.75224526453299,54.48588709677419,74.49596774193549,65.22177419354838
14,56.216321032005226,74.33356466361855,65.0453135205748,54.63709677419355,73.5383064516129,67.2883064516129
15,56.15712769431744,74.50502122795558,68.46321848465055,54.48588709677419,74.79838709677419,70.0100806451613
16,56.29082299150882,74.8152759634226,70.70950359242325,53.729838709677416,66.78427419354838,72.07661290322581
17,56.29388471587198,74.7754735467015,79.95999346832136,54.88911290322581,75.75604838709677,87.5
18,56.19488896146309,75.49293762246897,94.72669007184847,53.528225806451616,76.6633064516129,96.82459677419355
19,56.38267472240366,79.25885858915741,98.44566459830176,55.090725806451616,82.00604838709677,98.3366935483871
20,56.51739059438275,83.03294415414761,99.04474199869367,55.04032258064516,84.02217741935483,97.53024193548387
